components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_uncertainty_std","Mass density, kg/m3_uncertainty_author_weighted","Mass density, kg/m3_uncertainty_author_averaged","Mass density, kg/m3_uncertainty_author_median","Mass density, kg/m3_uncertainty_bestguess","Mass density, kg/m3_counts",Relative permittivity at zero frequency_uncertainty_std,Relative permittivity at zero frequency_uncertainty_author_weighted,Relative permittivity at zero frequency_uncertainty_author_averaged,Relative permittivity at zero frequency_uncertainty_author_median,Relative permittivity at zero frequency_uncertainty_bestguess,Relative permittivity at zero frequency_counts
(2-hydroxyethyl)dimethylamine,OCCN(C)C,108-01-0,303.2,101.325,878.687,17.18,0.8881261171530892,0.0035355339059327377,0.005,0.005,0.8881261171530892,2,0.0,0.03644428350235465,0.051539999999999996,0.051539999999999996,0.03644428350235465,2
.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,293.2,101.325,1128.8916666666667,42.575,0.2579890186319396,0.004423258684646914,0.015,0.01,0.2579890186319396,3,0.33234018715787,0.021213203435596427,0.03,0.03,0.33234018715787,2
.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,298.2,101.325,1124.1122500000001,41.64,0.3397748025838953,0.0034583425062254098,0.014999999999999998,0.0125,0.3397748025838953,4,,0.03,0.03,0.03,0.03,1
.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,303.2,101.325,1120.2549999999999,41.1,2.05178580756004,0.004894902098688025,0.025000000000000005,0.03,2.05178580756004,3,,0.03,0.03,0.03,0.03,1
.gamma.-butyrolactone,C1(OCCC1)=O,187997-16-6,313.2,101.325,1112.6262500000003,39.92,6.116711228193092,0.004831018093370848,0.026250000000000002,0.03,6.116711228193092,4,,0.03,0.03,0.03,0.03,1
"1,2-dimethoxyethane",COCCOC,173201-80-4,288.2,101.325,872.1825000000001,7.409,0.16800297482702498,0.008908708063747479,0.043333333333333335,0.02,0.16800297482702498,4,0.001414213565612118,0.05238953998652788,0.07408999999999999,0.07408999999999999,0.05238953998652788,2
"1,2-dimethoxyethane",COCCOC,173201-80-4,298.2,101.325,861.830909090909,7.0695,1.134763892239146,0.00791942534446172,0.09036175,0.05,1.134763892239146,11,0.0007071067802939111,0.04998891352089982,0.07069500000000001,0.07069500000000001,0.04998891352089982,2
"1,2-dimethoxyethane",COCCOC,173201-80-4,308.2,101.325,850.8885714285715,6.753500000000001,1.2093307870552812,0.00875529453748741,0.10844900000000002,0.07500000000000001,1.2093307870552812,7,0.004949747466363916,0.04775443722839437,0.06753500000000001,0.06753500000000001,0.04775443722839437,2
"1,2-dimethoxyethane",COCCOC,173201-80-4,318.2,101.325,839.8060000000002,6.456,1.4011352538530746,0.008927734767249543,0.1246135,0.09422699999999999,1.4011352538530746,5,,0.06456,0.06456,0.06456,0.06456,1
"1,2-dimethoxyethane",COCCOC,173201-80-4,328.2,101.325,827.5799999999999,6.184,0.0707106789747626,0.00894427190999916,0.015,0.015,0.0707106789747626,2,,0.06184,0.06184,0.06184,0.06184,1
